,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.,Bitcoin_Price,Bitcoin_Vol.,Platinum_Price,Platinum_Vol.,Ethereum_Price,Ethereum_Vol.,S&P_500_Price,Nasdaq_100_Price,Nasdaq_100_Vol.,Apple_Price,Apple_Vol.,Tesla_Price,Tesla_Vol.,Microsoft_Price,Microsoft_Vol.,Silver_Price,Silver_Vol.,Google_Price,Google_Vol.,Nvidia_Price,Nvidia_Vol.,Berkshire_Price,Berkshire_Vol.,Netflix_Price,Netflix_Vol.,Amazon_Price,Amazon_Vol.,Meta_Price,Meta_Vol.,Gold_Price,Gold_Vol.
12,17-01-2024,2.87,150330,72.56,315680,3.733,,"42,768.70",50440,889.6,,"2,531.26",380900,"4,739.21","16,736.28",217620000,182.68,47190000,215.55,102580000,389.47,20260000,22.559,240,141.47,20940000,560.53,47250000,"5,45,250",8360,480.33,4880000,151.71,34350000,368.37,12660000,"2,015.90",180
13,16-01-2024,2.9,228160,72.4,430440,3.7665,,"43,145.50",63930,904.4,,"2,588.64",395070,"4,762.85","16,830.71",247750000,183.63,65440000,219.91,114850000,390.27,26920000,22.983,180,142.49,22630000,563.82,44150000,"5,47,520",11870,481.24,4670000,153.16,40060000,367.46,15260000,"2,039.70",480
14,12/1/2024,3.313,265880,72.68,403640,3.7405,,"42,835.90",136920,921.1,,"2,523.98",931960,"4,783.83","16,832.92",189670000,185.92,40480000,218.89,123040000,388.47,21660000,23.218,510,142.65,18790000,547.1,35300000,"5,51,800",8120,492.16,5000000,154.62,40480000,374.49,19310000,"2,061.10",560
15,11/1/2024,3.097,235030,72.02,373650,3.7765,,"46,348.20",131040,919.6,,"2,618.08",889360,"4,780.24","16,820.90",219920000,185.59,49130000,227.22,105870000,384.63,27850000,22.595,230,142.08,24010000,548.22,59680000,"5,51,695",8290,492.23,7990000,155.18,49070000,369.67,16890000,"2,028.90",360
16,10/1/2024,3.039,258010,71.37,352770,3.781,,"46,629.30",131480,929.6,,"2,581.79",1120000,"4,783.45","16,793.04",209800000,186.19,45900000,233.94,91320000,382.77,25170000,22.956,80,142.28,21120000,543.5,52810000,"5,57,590",7970,478.33,4260000,153.73,43810000,370.47,22020000,"2,037.50",130
17,9/1/2024,3.19,351780,72.24,363450,3.7585,,"46,129.00",100090,943.5,,"2,344.67",588190,"4,756.50","16,678.70",224480000,185.14,42840000,234.96,96710000,375.79,20830000,23.091,,140.95,24760000,531.4,77310000,"5,56,500",7840,482.09,3530000,151.37,43810000,357.43,13340000,"2,033.00",218750
18,8/1/2024,2.98,237670,70.77,392250,3.81,,"46,962.20",103090,959.4,,"2,330.98",565230,"4,763.54","16,649.87",273870000,185.56,59140000,240.45,85170000,374.69,23130000,23.31,,138.84,21400000,522.53,64250000,"5,58,780",10870,485.03,3680000,149.1,46760000,358.66,13550000,"2,033.50",220990
19,5/1/2024,2.893,187500,73.81,325530,3.806,,"44,156.90",68070,971.8,,"2,268.12",426010,"4,697.24","16,305.98",221900000,181.18,62380000,237.49,92490000,367.75,21000000,23.315,,135.73,22510000,490.97,41500000,"5,54,300",8110,474.06,2630000,145.24,45150000,351.95,13750000,"2,049.80",214680
20,4/1/2024,2.821,206310,72.19,344470,3.844,,"44,157.00",68050,966.3,,"2,267.27",467010,"4,688.68","16,282.01",251190000,181.91,70700000,237.93,102230000,367.94,20700000,23.187,,136.39,25690000,479.98,30440000,"5,51,550",9060,474.67,3610000,144.57,55820000,347.12,11660000,"2,050.00",130260
21,3/1/2024,2.668,166470,72.7,334860,3.8615,,"42,836.10",117650,987.1,,"2,209.49",852010,"4,704.81","16,368.49",239480000,184.25,56440000,238.45,120510000,370.6,21800000,23.157,,138.92,23160000,475.69,31820000,"5,56,050",9530,470.26,3400000,148.47,46910000,344.47,14280000,"2,042.80",221680
22,2/1/2024,2.568,132450,70.38,330990,3.8805,,"44,943.70",97840,998.3,,"2,355.27",491560,"4,742.83","16,543.94",270930000,185.64,79820000,248.42,104070000,370.87,24820000,23.953,,138.17,23600000,481.68,40840000,"5,49,787",12030,468.5,5040000,149.93,45260000,346.29,18050000,"2,073.40",157560
23,29-12-2023,2.514,89600,71.65,214490,3.8915,,"42,072.40",60980,"1,009.20",18530,"2,299.24",475370,"4,769.83","16,825.93",196410000,192.53,42670000,248.48,100890000,376.04,18730000,24.025,,139.69,18730000,495.22,38930000,"5,42,625",8110,486.88,2740000,151.94,39820000,353.96,14990000,"2,071.80",105720
24,28-12-2023,2.557,116060,71.77,262750,3.9245,,"42,581.10",49840,"1,023.20",,"2,344.47",626910,"4,783.35","16,898.47",150030000,193.58,33830000,253.18,112530000,375.28,14190000,24.372,,140.23,15960000,495.22,24440000,"5,45,000",7380,490.51,1700000,153.38,26820000,358.32,11740000,"2,083.50",129540
25,27-12-2023,2.619,3930,74.11,253320,3.956,,"43,446.50",50100,"1,013.50",,"2,378.63",577270,"4,781.58","16,906.80",182990000,193.15,47900000,261.44,105860000,374.07,14870000,24.57,,140.37,19570000,494.17,23220000,"5,43,750",7620,491.79,2550000,153.34,31240000,357.83,13210000,"2,083.40",590
26,26-12-2023,2.55,50760,75.57,208720,3.902,38000,"42,513.30",56030,995.6,,"2,230.74",429500,"4,774.75","16,878.46",146740000,193.05,28810000,256.61,86640000,374.66,12650000,24.396,27810,141.52,16530000,492.79,24280000,"5,43,635",10890,491.19,2030000,153.41,24870000,354.83,9880000,"2,060.40",290
27,22-12-2023,2.61,42840,73.56,222600,3.905,54140,"43,968.90",44500,981.8,,"2,324.23",620730,"4,754.63","16,777.40",170680000,193.6,37150000,252.54,93370000,374.58,17110000,24.565,48680,141.49,26530000,488.3,25250000,"5,42,600",7840,486.76,2700000,153.42,29510000,353.39,11770000,"2,059.60",440
28,21-12-2023,2.572,84550,73.89,251980,3.9175,70080,"43,865.90",48960,970.3,26550,"2,239.62",471460,"4,746.75","16,757.41",217170000,194.68,44080000,254.5,108960000,373.54,17630000,24.585,46760,140.42,27400000,489.9,29920000,"5,41,000",7700,491.61,2750000,153.84,35950000,354.09,15220000,"2,041.80",540
29,20-12-2023,2.447,125260,74.22,273360,3.906,66320,"43,662.80",70190,974,30010,"2,202.19",440350,"4,701.19","16,554.16",275300000,194.83,50130000,247.14,124130000,370.62,26020000,24.631,46980,138.34,48940000,481.11,39400000,"5,43,740",8150,489.27,4520000,152.12,50000000,349.28,15990000,"2,038.10",260
30,19-12-2023,2.492,170440,73.44,25690,3.898,84950,"42,259.30",55290,965.8,25860,"2,177.44",400940,"4,768.37","16,811.86",228940000,196.94,40230000,257.22,106290000,373.26,20530000,24.321,37540,136.65,25440000,496.04,46310000,"5,54,650",7500,495.02,3840000,153.79,42890000,350.36,17660000,"2,042.60",470
31,18-12-2023,2.503,154300,72.47,73940,3.852,54990,"42,659.70",61580,954.3,26230,"2,218.80",388260,"4,740.56","16,729.80",249620000,195.89,55750000,252.08,116420000,372.65,21800000,24.107,42680,135.8,32260000,500.77,41260000,"5,51,182",10460,486.12,6410000,154.07,62510000,344.62,18360000,"2,030.90",250
32,15-12-2023,2.491,189240,71.43,95510,3.8905,73670,"41,929.00",45280,952.6,38070,"2,220.41",349630,"4,719.19","16,623.45",982560000,197.57,128540000,253.5,135930000,370.73,78500000,24.154,57000,132.6,50850000,488.9,47990000,"5,44,478",8430,472.06,7840000,149.97,110090000,334.92,31780000,"2,026.00",630
33,14-12-2023,2.392,159490,71.58,275690,3.8925,107540,"43,025.90",59150,967.9,42830,"2,315.64",461600,"4,719.55","16,537.83",392380000,198.11,65960000,251.05,160120000,365.93,43070000,24.386,97580,131.94,38600000,483.5,38160000,"5,49,760",8110,469.83,5070000,147.42,57940000,333.17,19340000,"2,035.20",560
34,13-12-2023,2.335,255190,69.47,307000,3.7875,62860,"42,884.50",63110,922.1,32250,"2,260.18",436640,"4,707.09","16,562.37",265120000,197.96,67760000,239.29,145290000,374.37,30360000,22.921,81890,132.57,29640000,480.88,43610000,"5,55,800",7810,479.98,5750000,148.84,51650000,334.74,16200000,"1,988.10",2220
35,12/12/2023,2.311,223460,68.61,324530,3.7875,69520,"41,487.00",57040,931,30170,"2,203.49",377050,"4,643.70","16,354.25",251200000,194.71,51290000,237.01,94920000,374.38,24710000,23.016,55160,132.52,28950000,476.57,36990000,"5,49,240",7870,463,3280000,147.48,43400000,334.22,17980000,"1,983.90",570
36,11/12/2023,2.35,144300,71.32,274410,3.7805,66610,"41,256.10",105190,915.7,20160,"2,225.34",678030,"4,622.44","16,221.74",303210000,193.18,60780000,239.74,97620000,371.3,27660000,23.058,56900,133.29,31040000,466.27,50110000,"5,46,907",10390,459.89,4920000,145.89,48400000,325.28,25510000,"1,993.70",160070
37,8/12/2023,2.504,88300,71.23,302250,3.8305,89400,"44,175.50",58440,919.8,25020,"2,358.42",397410,"4,604.37","16,084.69",245090000,195.71,53410000,243.84,103130000,374.23,20150000,23.276,87080,134.99,32260000,475.06,35920000,"5,40,000",7640,453.76,3460000,147.42,41910000,332.75,14090000,"2,014.50",237290
38,7/12/2023,2.52,125250,69.34,339000,3.7975,78530,"43,289.70",63090,912,26880,"2,355.80",518610,"4,585.59","16,022.49",262030000,194.27,47340000,242.64,106730000,370.95,22870000,24.059,57750,136.93,55030000,465.96,34170000,"5,37,780",6960,452,3460000,146.88,49510000,326.59,15710000,"2,046.40",173980
39,6/12/2023,2.517,82950,69.38,436800,3.7345,83430,"43,776.30",72520,893.7,27700,"2,233.45",431570,"4,549.34","15,788.05",231990000,192.32,40900000,239.37,126440000,368.8,21120000,24.228,59370,130.02,22900000,455.03,38060000,"5,35,220",7520,446.73,4180000,144.52,39680000,317.45,11290000,"2,047.90",154220
40,5/12/2023,2.667,42490,72.32,358700,3.784,96110,"44,076.20",96840,906.6,28080,"2,293.34",561410,"4,567.18","15,877.71",230800000,193.42,65350000,238.72,137400000,372.52,22920000,24.546,76730,130.99,27320000,465.66,36220000,"5,39,250",7500,455.15,3230000,146.88,46390000,318.29,15890000,"2,036.30",209550
41,4/12/2023,2.651,53830,73.04,388830,3.8355,95060,"41,987.80",104210,925.1,27280,"2,243.54",601450,"4,569.78","15,839.67",255590000,189.43,43070000,235.58,103810000,369.14,31940000,24.907,113760,129.27,36540000,455.1,42880000,"5,42,395",10130,453.9,5150000,144.84,47810000,320.02,19000000,"2,042.20",378220
42,1/12/2023,2.773,48470,74.07,358980,3.9315,106080,"38,688.20",62500,936.1,23110,"2,087.21",402510,"4,594.63","15,997.58",247400000,191.24,45700000,238.83,121330000,374.51,33040000,25.857,70000,131.86,31440000,467.65,36930000,"5,42,414",8890,465.74,4340000,147.03,39950000,324.82,15280000,"2,089.70",241620
43,30-11-2023,2.802,147750,75.96,559170,3.8505,76490,"37,712.90",33530,935.9,24650,"2,051.56",252490,"4,567.78","15,947.87",444540000,189.95,47990000,240.08,129350000,378.91,29350000,25.66,51620,132.53,37390000,467.7,52040000,"5,45,900",7420,473.97,4260000,146.09,64320000,327.15,22400000,"2,057.20",151920
44,29-11-2023,2.804,141590,77.86,322170,3.8255,76390,"37,855.50",49340,941.4,23080,"2,028.99",269970,"4,550.58","15,987.60",230980000,189.37,37940000,244.14,134650000,378.85,24360000,25.443,67400,134.99,23840000,481.4,36040000,"5,43,905",7580,477.19,2850000,146.32,38760000,332.2,15980000,"2,067.10",197790
45,28-11-2023,2.706,4140,76.41,286620,3.8285,640,"37,823.30",57500,944.7,70,"2,048.47",312940,"4,554.89","16,010.43",238590000,190.4,37790000,246.72,147240000,382.7,20330000,25.302,63460,137.2,18700000,478.21,38950000,"5,46,869",6930,479,2880000,147.03,41270000,338.99,12390000,"2,050.50",1860
46,27-11-2023,2.794,67040,74.86,289560,3.789,200,"37,248.60",45240,918,50,"2,027.51",354280,"4,550.43","15,961.98",215450000,189.79,40400000,236.08,111510000,378.61,22140000,25.038,55050,136.41,23330000,482.42,39390000,"5,47,445",9910,479.17,3570000,147.73,52380000,334.7,15650000,"2,023.10",1060
47,24-11-2023,2.855,34120,75.54,281150,3.8205,190,"37,717.30",65830,932.4,20,"2,080.62",460970,"4,559.34","15,980.11",68570000,189.97,24040000,235.45,65030000,377.43,9380000,24.692,31900,136.69,12510000,477.76,29380000,"5,49,500",7710,479.56,1400000,146.74,21620000,338.23,5470000,"2,013.70",520
48,22-11-2023,2.897,59220,77.1,389330,3.797,150,"37,410.80",64810,925.8,40,"2,063.05",506350,"4,556.62","16,001.39",202910000,191.31,39630000,234.21,118120000,377.85,23360000,24.033,24900,138.49,17820000,487.16,90060000,"5,49,520",7270,478,2840000,146.71,45700000,341.49,10720000,"2,003.40",670
49,21-11-2023,2.846,103670,77.77,238630,3.8395,120,"35,813.60",71070,941.4,20,"1,934.62",527410,"4,538.19","15,933.62",210890000,190.64,38130000,241.2,122290000,373.07,28420000,24.221,23430,136.97,22640000,499.44,56570000,"5,47,625",7220,474.95,3000000,143.9,71230000,336.98,11980000,"2,012.00",670
50,20-11-2023,2.882,113700,77.6,27250,3.8335,310,"37,454.10",51800,923.4,10,"2,021.49",455230,"4,547.38","16,027.06",247080000,191.45,46540000,235.6,116560000,377.44,52530000,23.959,15880,136.25,27850000,504.09,41610000,"5,47,836",9920,474.47,3620000,146.13,41980000,339.97,16740000,"1,990.70",310
51,17-11-2023,3.131,146650,75.89,101480,3.7345,,"36,595.40",51370,905,,"1,960.80",430920,"4,514.02","15,837.99",259240000,189.69,50940000,234.3,142770000,369.85,40330000,23.852,54400,135.31,37290000,492.98,32590000,"5,44,190",8010,465.91,2800000,145.18,49680000,335.04,14520000,"1,984.70",133120
52,16-11-2023,3.239,166400,72.9,125170,3.7025,,"36,161.20",66920,898.4,,"1,961.76",585120,"4,508.24","15,833.17",274410000,189.71,53990000,233.59,135460000,376.17,26430000,23.933,83270,136.93,27160000,494.8,33480000,"5,46,635",7320,466.95,3620000,142.83,49650000,334.19,18930000,"1,987.30",186810
53,15-11-2023,3.362,109450,76.66,282300,3.7185,85830,"37,874.90",75510,901.25,,"2,058.93",455570,"4,502.88","15,817.18",271670000,188.01,53230000,242.84,149640000,369.67,26150000,23.538,72280,134.62,23200000,488.88,47130000,"5,42,500",7620,461.94,5010000,143.2,63260000,332.71,14530000,"1,964.30",142920
54,14-11-2023,3.106,146720,78.26,263000,3.6835,102760,"35,549.30",63560,890.7,,"1,979.10",521220,"4,495.70","15,812.47",290230000,187.44,59710000,237.41,147560000,370.27,26810000,23.132,76300,133.62,32270000,496.56,41350000,"5,37,400",7230,448.65,4000000,145.8,56430000,336.31,17180000,"1,966.50",180740
55,13-11-2023,3.197,165650,78.26,262900,3.666,96820,"36,478.30",44550,863.6,,"2,054.18",578440,"4,411.55","15,482.79",197750000,184.8,41970000,223.71,138760000,366.68,19940000,22.358,64070,132.09,18010000,486.2,38180000,"5,31,288",9420,444.62,2780000,142.59,35240000,329.19,16050000,"1,950.20",183700
56,10/11/2023,3.033,106720,77.17,267000,3.587,96130,"37,303.00",59560,845.6,,"2,077.78",640310,"4,415.24","15,529.12",278470000,186.4,66180000,214.65,131310000,369.67,28070000,22.281,63950,132.59,26930000,483.35,42240000,"5,31,886",7750,447.24,4440000,143.56,49350000,328.77,19120000,"1,937.70",229640
57,9/11/2023,3.041,142580,75.74,303430,3.6405,93670,"36,700.50",115560,864.3,,"2,120.16",1210000,"4,347.35","15,187.90",263170000,182.41,52450000,209.98,141300000,360.69,23820000,22.905,74590,130.24,22890000,469.5,53440000,"5,28,225",7080,435.15,2700000,140.6,35500000,320.55,16100000,"1,969.80",214080
58,8/11/2023,3.106,172750,75.33,429650,3.638,96580,"35,636.90",46330,871.5,,"1,889.29",265080,"4,382.78","15,313.24",241210000,182.89,49180000,222.11,105600000,363.2,25730000,22.728,66630,131.84,25650000,465.74,34440000,"5,26,660",7250,436.65,2300000,142.08,43570000,319.78,12870000,"1,957.80",189360
59,7/11/2023,3.14,186180,77.37,396290,3.679,108310,"35,426.10",53490,898.55,,"1,885.97",370100,"4,378.38","15,296.02",232650000,181.82,70210000,222.18,116020000,360.53,25740000,22.589,79030,130.97,27770000,459.55,34140000,"5,25,280",7320,434.61,3240000,142.71,53670000,318.82,14060000,"1,973.50",218950
60,6/11/2023,3.264,185740,80.82,271130,3.719,84990,"35,042.00",29810,917.6,,"1,900.98",359000,"4,365.98","15,154.93",218030000,179.23,63650000,219.27,116550000,356.53,23290000,23.234,41670,130.25,19020000,457.51,39890000,"5,26,450",11220,434.74,2890000,139.74,44410000,315.8,12890000,"1,988.60",146280
61,3/11/2023,3.515,110110,80.51,457280,3.6815,81350,"34,718.70",54540,940.95,,"1,832.29",337000,"4,358.34","15,099.49",269750000,176.65,79830000,219.96,119540000,352.8,23640000,23.285,76960,129.1,26390000,450.05,42460000,"5,33,815",8010,432.36,3670000,138.6,44060000,314.6,16760000,"1,999.20",222190
62,2/11/2023,3.472,118510,82.46,307120,3.6725,71370,"34,931.40",63660,930.6,,"1,800.27",398430,"4,317.78","14,919.54",296180000,177.57,67020000,218.51,124390000,348.32,24100000,22.846,45120,127.49,26590000,435.06,39820000,"5,30,340",7150,424.71,4420000,138.07,51570000,310.87,21480000,"1,993.50",158650
63,1/11/2023,3.494,151260,80.44,321590,3.649,83300,"35,423.80",71660,934.9,,"1,846.60",509010,"4,237.86","14,664.91",298770000,173.97,56930000,205.66,121660000,346.07,28160000,22.79,54800,126.45,30080000,423.25,43760000,"5,23,749",7400,420.19,4810000,137,61530000,311.85,20430000,"1,987.50",197630
64,31-10-2023,3.575,238330,81.02,346010,3.649,72260,"34,650.60",43400,944.9,,"1,815.13",279110,"4,193.80","14,409.78",251080000,170.77,43520000,200.84,117590000,338.11,19750000,22.952,54680,124.08,25920000,407.8,51380000,"5,17,825",6610,411.69,3870000,133.09,48970000,301.27,18040000,"1,994.30",214780
65,30-10-2023,3.352,119530,82.31,356930,3.6585,93450,"34,477.90",45200,939.9,,"1,809.05",304470,"4,166.82","14,335.51",233950000,170.29,50470000,197.36,135520000,337.31,22780000,23.396,60080,124.46,28180000,411.61,38310000,"5,13,065",8840,410.08,5280000,132.71,72030000,302.66,27540000,"2,005.60",181340
66,27-10-2023,3.164,4090,85.54,333760,3.646,102140,"33,901.80",47330,901.5,30,"1,779.54",298240,"4,117.37","14,180.42",274770000,168.22,58500000,207.3,94880000,329.81,29860000,22.774,70,122.17,44570000,405,41680000,"5,03,375",7910,397.87,5000000,127.74,125310000,296.73,29600000,"1,989.00",370
67,26-10-2023,3.214,88610,83.21,341790,3.5845,73830,"34,153.70",56620,909,,"1,803.13",471170,"4,137.23","14,109.57",299370000,166.89,69450000,205.76,113830000,327.89,37230000,22.795,110,122.28,55640000,403.26,53150000,"5,10,125",7210,403.54,6690000,119.57,83670000,288.35,65770000,"1,987.90",200
68,25-10-2023,3.01,31460,85.39,429460,3.591,70330,"34,496.80",75810,912.4,26650,"1,787.00",389390,"4,186.77","14,381.64",297480000,171.1,56600000,212.42,105410000,340.67,54460000,22.895,90,125.61,83290000,417.79,38400000,"5,12,400",7080,411.25,6220000,121.39,72530000,299.53,42190000,"1,985.50",160
69,24-10-2023,2.971,65430,83.74,370590,3.624,89810,"33,917.00",159080,891.9,,"1,784.88",750210,"4,247.68","14,745.86",226190000,173.44,43580000,216.52,117480000,330.53,27520000,22.999,100,138.81,40970000,436.63,38370000,"5,16,250",6710,413.73,6440000,128.56,44470000,312.55,18010000,"1,976.80",1230
70,23-10-2023,2.926,99130,85.49,315520,3.5865,83730,"33,041.80",133460,905,,"1,763.75",672280,"4,217.04","14,604.85",224360000,173,55240000,212.08,149250000,329.32,24320000,23.095,80,136.5,26180000,429.75,47290000,"5,12,500",8920,406.84,7340000,126.56,46690000,314.01,17800000,"1,978.20",450
71,20-10-2023,2.899,144040,88.75,27310,3.563,,"29,674.50",82680,905.1,,"1,603.89",343610,"4,224.16","14,560.88",295790000,172.88,64240000,211.99,138010000,326.67,25030000,23.504,,135.6,26340000,413.87,47730000,"5,11,000",7790,400.96,12780000,125.17,56410000,308.65,21720000,"1,994.40",
72,19-10-2023,2.957,138650,89.37,72060,3.601,66120,"28,723.00",50100,898.2,,"1,566.79",238420,"4,278.00","14,783.13",268510000,175.46,57620000,220.11,169090000,331.32,24910000,23.031,58630,137.75,25880000,421.01,48970000,"5,15,550",6990,401.77,27720000,128.4,59610000,312.81,17860000,"1,980.50",264820
73,18-10-2023,3.056,122850,88.32,92800,3.587,69580,"28,321.70",45010,894.3,,"1,563.43",199430,"4,314.60","14,909.26",226410000,175.84,54490000,242.68,114650000,330.11,23030000,23.099,66390,137.96,23290000,421.96,62310000,"5,18,145",7640,346.19,9620000,128.13,42130000,316.97,16720000,"1,968.30",270050
74,17-10-2023,3.079,133590,86.66,197120,3.5785,86040,"28,403.60",53420,906.2,,"1,564.99",250220,"4,373.20","15,122.01",240210000,177.15,57420000,254.85,93300000,332.06,18000000,23.024,48470,139.72,23110000,439.38,80760000,"5,27,750",7070,355.72,5830000,131.47,48170000,324,16290000,"1,935.70",165060
75,16-10-2023,3.109,165020,86.66,235780,3.582,57580,"28,509.70",119180,899.4,,"1,599.48",452690,"4,373.63","15,172.73",222560000,178.72,52170000,253.92,88630000,332.64,22100000,22.765,36550,139.1,26310000,460.95,37100000,"5,27,475",9110,360.82,5100000,132.55,42360000,321.15,16060000,"1,934.30",182820
76,13-10-2023,3.236,139190,87.69,356860,3.571,64950,"26,863.50",33660,884.2,23660,"1,552.17",208910,"4,327.78","14,995.12",235940000,178.85,51460000,251.12,102300000,327.73,21090000,22.895,76260,137.36,23440000,454.61,47540000,"5,22,700",7440,355.68,6320000,129.79,45830000,314.69,21360000,"1,941.50",312990
77,12/10/2023,3.344,160320,82.91,373490,3.591,69710,"26,761.10",32750,875.8,24150,"1,539.70",260590,"4,349.61","15,184.10",230890000,180.71,56550000,258.87,111510000,331.16,19270000,21.959,51300,138.97,24710000,469.45,47980000,"5,24,517",7530,361.2,7350000,132.33,54960000,324.16,20530000,"1,883.00",163480
78,11/10/2023,3.377,211410,83.49,425400,3.612,52510,"26,876.60",55780,893,,"1,566.88",279010,"4,376.95","15,241.12",206570000,179.8,47040000,262.99,103390000,332.42,19830000,22.133,45000,140.55,25780000,468.06,37480000,"5,28,820",7670,365.93,9030000,131.83,40520000,327.82,21390000,"1,887.30",169960
79,10/10/2023,3.382,170100,85.97,337650,3.634,57840,"27,391.00",34320,890.2,,"1,567.60",255410,"4,358.24","15,131.52",215540000,178.39,43650000,263.62,122100000,328.39,20520000,21.953,43790,138.06,27760000,457.98,35960000,"5,28,530",7270,373.32,7150000,129.48,40370000,321.84,18970000,"1,875.30",157340
80,9/10/2023,3.376,208300,86.38,435040,3.646,64060,"27,581.40",44810,888.8,,"1,579.74",372110,"4,335.66","15,047.16",,178.99,42390000,259.67,101380000,329.82,19890000,21.924,58310,138.42,19280000,452.73,40970000,"5,23,690",9420,385.95,3300000,128.26,38770000,318.36,22500000,"1,864.30",187800
81,6/10/2023,3.338,248000,82.79,461140,3.6275,89050,"27,936.90",52510,881.5,,"1,645.62",238240,"4,308.50","14,973.24",259200000,177.49,57270000,260.53,118120000,327.26,25670000,21.723,84530,137.58,27600000,457.62,43440000,"5,25,425",7900,381.51,4780000,127.96,46840000,315.43,21800000,"1,845.20",231020
